"SRR1071717"	"SRR1099957"	"SRR1093930"	"SRR1084917"	"SRR1081765"	"SRR1079830"	"SRR1086236"	"SRR1097296"	"SRR1120296"	"SRR1092208"	"SRR1085402"
"ENSG00000011260.13"	523	917	812	725	583	636	540	756	691	482	573
"ENSG00000011275.18"	2265	2461	1406	1180	1729	3063	2746	2263	1117	2747	851
"ENSG00000011295.15"	998	1843	1556	1328	1185	1256	986	895	1407	870	1285
"ENSG00000011304.18"	3960	7113	6988	5562	4948	5498	4583	6019	6035	4126	5120
"ENSG00000011332.19"	8	9	4	2	3	9	6	3	0	12	12
"ENSG00000011347.9"	66	396	432	483	190	111	86	100	363	68	482
"ENSG00000011376.9"	365	539	651	503	414	526	313	523	596	564	455
"ENSG00000011405.13"	2434	2425	2252	1810	2247	2627	2982	1898	1537	1986	1559
"ENSG00000011422.11"	123	286	190	213	267	241	164	371	280	107	298
"ENSG00000011426.10"	63	62	32	145	31	100	85	32	55	87	268
"ENSG00000011451.17"	2817	2818	2231	1642	2792	4231	3180	3059	1960	3805	1709
"ENSG00000011454.16"	4510	3667	2979	2483	3012	4582	4770	3403	2475	5499	2027
"ENSG00000011465.16"	29753	50530	56381	20689	42366	51622	54571	39670	35504	28915	28350
"ENSG00000011478.11"	205	354	380	300	219	282	191	189	322	269	277
"ENSG00000011485.14"	1367	1952	1820	1451	1910	1990	1469	1541	1653	1803	1385
"ENSG00000011523.13"	1404	1963	1867	1303	1479	2142	1650	1478	1114	1817	904
"ENSG00000011566.14"	1308	1808	1544	1161	1351	1518	1292	1051	1063	1130	1009
"ENSG00000011590.13"	3	18	17	53	10	7	19	4	35	19	6
"ENSG00000011600.11"	264	390	579	362	568	391	255	288	495	296	381
"ENSG00000011638.10"	1579	2438	1858	1454	1212	1932	2460	743	1746	2582	1324
"ENSG00000011677.12"	1	77	67	86	10	9	4	4	95	1	37
"ENSG00000012048.20"	166	187	185	135	138	237	178	201	165	234	160
"ENSG00000012061.15"	1438	1930	2124	1543	1356	1756	1265	1456	1631	2066	1387
"ENSG00000012124.15"	73	124	169	101	104	111	181	186	184	75	66
"ENSG00000012171.18"	2398	1390	1290	2077	1235	1962	1320	726	993	1729	942
"ENSG00000012174.11"	605	686	508	428	645	782	612	531	409	506	414
"ENSG00000012211.12"	366	672	570	508	501	603	332	356	661	554	586
"ENSG00000012223.12"	18	28	35	97	65	30	39	41	21	43	19
"ENSG00000012232.8"	1857	2257	1045	926	1411	2079	1817	1690	962	2575	918
"ENSG00000012504.13"	4	98	137	390	75	70	35	26	48	3	499
"ENSG00000012660.13"	1575	1756	1062	1073	1729	1882	3033	3095	659	1435	935
"ENSG00000012779.10"	451	10021	9360	4823	3804	1503	880	707	5334	637	7577
"ENSG00000012817.15"	3841	4873	6	3448	3692	4676	7	3	6	8	3193
"ENSG00000012822.15"	7405	10103	9702	6905	10086	13313	11259	8380	5220	9564	7161
"ENSG00000012963.14"	1032	1111	842	719	847	1304	1082	969	699	971	698
"ENSG00000012983.11"	1828	3218	2608	1920	1872	2212	2169	1389	1994	2180	1901
"ENSG00000013016.15"	261	1730	983	1039	668	620	289	320	1054	281	2212
"ENSG00000013275.7"	1383	1536	1276	1111	1471	1921	1583	1713	1079	2161	1236
"ENSG00000013288.8"	2621	3175	2981	1890	2319	3183	2928	2224	2339	2416	2305
"ENSG00000013293.5"	2	11	26	3	14	0	8	9	5	3	5
"ENSG00000013297.10"	253	1164	1981	555	602	618	722	500	778	148	716
"ENSG00000013306.15"	1494	2623	2568	1810	1902	2507	1622	1997	1898	2092	2321
"ENSG00000013364.18"	2392	6328	6274	4427	5838	6191	2897	6232	5488	2724	4932
"ENSG00000013374.15"	1834	2581	2226	1699	2237	2704	2599	2197	1891	2349	1417
"ENSG00000013375.15"	934	1291	1393	907	921	1250	941	1043	957	853	1020
"ENSG00000013392.7"	217	225	216	160	236	346	202	160	136	267	180
